"CEDULA","NOMBRE_COMPLETO","FECHA_NACIMIENTO","ESTADO_CIVIL","SEXO","EDAD","TELEFONO","CORREO"
11001,"Eugene",10-MAY-76,0,1,,"",""
11002,"Ruben",09-FEB-71,1,1,,"",""
11003,"Christy",14-AUG-73,0,2,,"",""
11004,"Elizabeth",05-AUG-79,0,2,,"",""
11005,"Julio",01-AUG-76,0,1,,"",""
11006,"Janet",02-DEC-76,0,2,,"",""
11007,"Marco",06-NOV-69,1,1,,"",""
11008,"Rob",04-JUL-75,0,2,,"",""
11009,"Shannon",29-SEP-69,0,1,,"",""
11010,"Jacquelyn",05-AUG-69,0,2,,"",""
11011,"Curtis",03-MAY-69,1,1,,"",""
11012,"Lauren",14-JAN-79,1,2,,"",""
11013,"Ian",03-AUG-79,1,1,,"",""
11014,"Sydney",06-NOV-73,0,2,,"",""
11015,"Chloe",26-AUG-84,0,2,,"",""
11016,"Wyatt",25-OCT-84,1,1,,"",""
11017,"Shannon",24-DEC-49,0,2,,"",""
11018,"Clarence",06-OCT-55,0,1,,"",""
11019,"Luke",04-SEP-83,0,1,,"",""
11020,"Jordan",19-MAR-84,0,1,,"",""
11021,"Destiny",02-MAR-84,0,2,,"",""
11022,"Ethan",10-APR-84,1,1,,"",""
11023,"Seth",09-APR-84,1,1,,"",""
11024,"Russell",16-MAR-84,1,1,,"",""
11025,"Alejandro",22-JUN-51,1,1,,"",""
11026,"Harold",01-OCT-51,0,1,,"",""
11027,"Jessie",05-JUN-52,1,1,,"",""
11028,"Jill",09-OCT-51,1,2,,"",""
11029,"Jimmy",19-JUN-52,1,1,,"",""
11030,"Bethany",18-FEB-58,1,2,,"",""
11031,"Theresa",18-FEB-53,1,2,,"",""
11032,"Denise",08-DEC-52,1,2,,"",""
11033,"Jaime",19-SEP-58,1,1,,"",""
11034,"Ebony",16-DEC-52,1,2,,"",""
11035,"Wendy",23-AUG-53,1,2,,"",""
11036,"Jennifer",16-JUN-84,1,2,,"",""
11037,"Chloe",27-MAY-83,0,2,,"",""
11038,"Diana",20-SEP-53,1,2,,"",""
11039,"Marc",16-JUN-54,1,1,,"",""
11040,"Jesse",29-JAN-83,1,1,,"",""
11041,"Amanda",15-APR-83,1,2,,"",""
11042,"Megan",11-DEC-82,1,2,,"",""
11043,"Nathan",23-AUG-81,1,1,,"",""
11044,"Adam",21-NOV-54,1,1,,"",""
11045,"Leonard",16-NOV-55,0,1,,"",""
11046,"Christine",19-SEP-55,1,2,,"",""
11047,"Jaclyn",27-AUG-55,1,2,,"",""
11048,"Jeremy",21-MAY-56,1,1,,"",""
11049,"Carol",15-JAN-86,0,2,,"",""
11050,"Alan",06-MAR-57,1,1,,"",""
11051,"Daniel",31-JAN-57,0,1,,"",""
11052,"Heidi",03-FEB-57,0,2,,"",""
11053,"Ana",17-FEB-86,1,2,,"",""
11054,"Deanna",07-SEP-57,1,2,,"",""
11055,"Gilbert",02-SEP-57,1,1,,"",""
11056,"Michele",01-OCT-58,1,2,,"",""
11057,"Carl",07-APR-70,1,1,,"",""
11058,"Marc",23-APR-65,1,1,,"",""
11059,"Ashlee",29-SEP-59,0,2,,"",""
11060,"Jon",14-SEP-59,1,1,,"",""
11061,"Todd",20-FEB-76,1,1,,"",""
11062,"Noah",01-MAR-81,1,1,,"",""
11063,"Angela",04-OCT-80,0,2,,"",""
11064,"Chase",05-JUN-81,1,1,,"",""
11065,"Jessica",08-APR-79,1,2,,"",""
11066,"Grace",27-MAY-79,1,2,,"",""
11067,"Caleb",25-MAR-82,0,1,,"",""
11068,"Tiffany",19-SEP-66,0,2,,"",""
11069,"Carolyn",17-SEP-66,0,2,,"",""
11070,"Willie",02-OCT-60,1,1,,"",""
11071,"Linda",23-DEC-60,0,2,,"",""
11072,"Casey",05-AUG-60,0,2,,"",""
11073,"Amy",11-FEB-62,0,2,,"",""
11074,"Levi",25-FEB-62,0,1,,"",""
11075,"Felicia",16-MAY-63,0,2,,"",""
11076,"Blake",10-JAN-63,0,1,,"",""
11077,"Leah",19-MAR-63,0,2,,"",""
11078,"Gina",06-JAN-85,0,2,,"",""
11079,"Donald",07-MAR-70,0,1,,"",""
11080,"Damien",13-JAN-65,1,1,,"",""
11081,"Savannah",21-JAN-72,1,2,,"",""
11082,"Angela",01-FEB-72,0,2,,"",""
11083,"Alyssa",11-MAR-77,1,2,,"",""
11084,"Lucas",12-MAR-63,0,1,,"",""
11085,"Emily",16-JAN-63,0,2,,"",""
11086,"Ryan",22-JUN-63,1,1,,"",""
11087,"Tamara",02-APR-63,1,2,,"",""
11088,"Hunter",25-MAY-63,1,1,,"",""
11089,"Abigail",05-AUG-62,0,2,,"",""
11090,"Trevor",13-DEC-68,0,1,,"",""
11091,"Dalton",02-OCT-62,1,1,,"",""
11092,"Cheryl",02-NOV-72,1,2,,"",""
11093,"Aimee",06-SEP-78,1,2,,"",""
11094,"Cedric",29-SEP-67,0,1,,"",""
11095,"Chad",29-FEB-68,0,1,,"",""
11096,"Andrés",07-FEB-68,1,1,,"",""
11097,"Edwin",23-OCT-72,1,1,,"",""
11098,"Mallory",29-OCT-66,0,2,,"",""
11099,"Adam",05-SEP-66,1,1,,"",""
11100,"Latasha",15-MAR-66,0,2,,"",""
11101,"Abby",05-NOV-70,0,2,,"",""
11102,"Julia",19-OCT-70,0,2,,"",""
11103,"Cassie",12-APR-81,0,2,,"",""
11104,"Edgar",08-MAR-75,1,1,,"",""
11105,"Candace",27-JUN-70,0,2,,"",""
11106,"Jessie",11-MAR-70,0,1,,"",""
11107,"Bianca",04-MAR-76,1,2,,"",""
11108,"Kari",10-JAN-69,0,2,,"",""
11109,"Ruben",30-APR-80,0,1,,"",""
11110,"Curtis",04-DEC-67,1,1,,"",""
11111,"Meredith",23-AUG-67,1,2,,"",""
11112,"Crystal",08-MAR-68,1,2,,"",""
11113,"Micheal",17-FEB-73,1,1,,"",""
11114,"Leslie",25-NOV-67,0,2,,"",""
11115,"Alvin",12-AUG-67,1,1,,"",""
11116,"Clinton",02-APR-79,1,1,,"",""
11117,"April",21-AUG-66,1,2,,"",""
11118,"Alvin",31-DEC-62,0,1,,"",""
11119,"Evan",07-OCT-40,0,1,,"",""
11120,"Beth",06-FEB-42,0,2,,"",""
11121,"Orlando",18-MAY-66,1,1,,"",""
11122,"Byron",30-SEP-65,1,1,,"",""
11123,"Philip",18-DEC-65,1,1,,"",""
11124,"Ross",23-JUL-68,0,1,,"",""
11125,"Dana",06-OCT-61,0,2,,"",""
11126,"Shaun",05-OCT-54,1,1,,"",""
11127,"Jan",19-APR-81,1,2,,"",""
11128,"Samantha",03-JUN-81,1,2,,"",""
11129,"Julia",01-FEB-81,0,2,,"",""
11130,"Caroline",05-JUL-85,1,2,,"",""
11131,"Amanda",09-SEP-85,1,2,,"",""
11132,"Melissa",25-APR-86,0,2,,"",""
11133,"Angela",08-MAR-86,0,2,,"",""
11134,"Larry",22-FEB-57,0,1,,"",""
11135,"Marcus",02-MAY-85,0,1,,"",""
11136,"Brianna",24-APR-84,0,2,,"",""
11137,"Jasmine",17-JAN-84,1,2,,"",""
11138,"Lauren",14-MAR-84,1,2,,"",""
11139,"Tanya",05-NOV-49,0,2,,"",""
11140,"Javier",11-AUG-82,0,1,,"",""
11141,"Nicole",19-DEC-82,1,2,,"",""
11142,"Eduardo",11-FEB-83,0,1,,"",""
11143,"Jonathan",04-AUG-82,1,1,,"",""
11144,"Edward",08-MAR-85,0,1,,"",""
11145,"Jasmine",06-JUN-85,0,2,,"",""
11146,"Karla",22-FEB-45,0,2,,"",""
11147,"Ernest",04-AUG-44,1,1,,"",""
11148,"Ross",13-FEB-47,1,1,,"",""
11149,"Theodore",18-OCT-46,1,1,,"",""
11150,"Russell",12-SEP-46,0,1,,"",""
11151,"Melinda",25-AUG-47,0,2,,"",""
11152,"James",09-JUL-81,0,1,,"",""
11153,"Angela",21-DEC-81,1,2,,"",""
11154,"Megan",18-FEB-82,0,2,,"",""
11155,"Hunter",25-JUL-81,0,1,,"",""
11156,"Maria",06-AUG-81,0,2,,"",""
11157,"Hannah",08-DEC-80,1,2,,"",""
11158,"Jason",06-APR-81,0,1,,"",""
11159,"Brianna",16-MAR-81,0,2,,"",""
11160,"Maurice",08-JUL-79,0,1,,"",""
