"CONSECUTIVO"	"CEDULA"	"DEPARTAMENTO"	"MONTO"	"SUCURSAL"	"PRODUCTO"	"USUARIO"
2101	20917	260	70047	5	7	145
2102	16780	80	9474	4	15	140
2103	11033	180	90367	3	4	204
2104	18182	220	66806	4	14	117
2105	24277	260	95810	1	11	153
2106	24607	160	85176	7	5	127
2107	12181	80	85176	3	5	105
2108	11827	160	70047	3	7	124
2109	16973	140	66806	3	14	153
2110	13735	10	63641	1	16	137
2111	23469	250	1760	7	1	119
2112	22077	60	70047	3	7	182
2113	28463	80	38466	4	18	128
2114	19740	90	63641	7	16	179
2115	29013	180	1526	7	13	191
2116	16370	110	85176	6	5	126
2117	16647	40	54620	2	9	135
2118	28311	260	11869	7	17	202
2119	12046	70	1526	1	13	198
2120	27603	230	29442	7	3	158
2121	14798	40	89125	3	12	163
2122	27450	40	89125	1	12	131
2123	18321	60	54620	2	9	132
2124	16727	140	47347	1	2	128
2125	20521	120	70724	7	6	205
2126	24859	120	73123	5	10	160
2127	28946	10	63641	1	16	190
2128	16726	230	70724	6	6	125
2129	29225	270	89125	6	12	180
2130	19332	220	1760	4	1	150
2131	23700	70	47347	7	2	155
2132	18900	240	85176	4	5	204
2133	16124	190	73123	5	10	140
2134	19992	260	66806	6	14	104
2135	20475	10	95810	7	11	142
2136	26942	90	73123	5	10	138
2137	22623	200	89125	7	12	189
2138	17347	180	1526	4	13	100
2139	16678	50	54620	2	9	167
2140	21404	40	1760	5	1	120
2141	24445	40	90367	5	4	113
2142	20019	80	38466	3	18	132
2143	24873	80	90367	3	4	204
2144	18066	70	70724	7	6	179
2145	22069	80	66806	6	14	131
2146	13580	110	63641	1	16	121
2147	14716	190	11869	7	17	134
2148	13580	240	90367	7	4	204
2149	19126	80	90367	4	4	115
2150	16269	210	11869	5	17	166
2151	18726	270	1760	4	1	197
2152	20824	20	27825	1	8	146
2153	18916	80	27825	3	8	176
2154	17360	140	70047	3	7	103
2155	11942	40	85176	3	5	137
2156	15968	170	66806	6	14	102
2157	17061	70	73123	3	10	194
2158	16171	30	73123	5	10	128
2159	23118	160	95810	2	11	157
2160	17756	240	90367	3	4	159
2161	15116	130	70047	7	7	119
2162	13604	90	9474	5	15	137
2163	24620	120	85176	5	5	141
2164	29272	250	70047	1	7	171
2165	17632	30	90367	3	4	158
2166	15753	100	70724	7	6	167
2167	14033	190	54620	4	9	155
2168	27040	160	38466	5	18	177
2169	26022	160	70047	5	7	142
2170	11897	140	1760	5	1	155
2171	28042	240	85176	2	5	151
2172	21596	70	95810	5	11	133
2173	20664	120	27825	2	8	110
2174	12597	70	27825	7	8	206
2175	22657	100	73123	2	10	105
2176	20220	90	38466	4	18	155
2177	20416	160	90367	6	4	134
2178	23028	10	54620	1	9	171
2179	18356	80	9474	2	15	202
2180	13090	60	9474	2	15	200
2181	19814	180	89125	3	12	113
2182	15638	140	70724	2	6	183
2183	13327	140	11869	2	17	101
2184	28910	20	90367	2	4	105
2185	23014	120	29442	6	3	127
2186	27097	50	1526	5	13	162
2187	23266	240	70047	2	7	186
2188	17794	40	85176	6	5	173
2189	11728	140	54620	4	9	154
2190	29431	180	73123	7	10	198
2191	23803	150	73123	1	10	170
2192	18953	10	70047	7	7	108
2193	11470	90	27825	2	8	117
2194	18487	230	29442	1	3	140
2195	16575	230	27825	6	8	197
2196	14498	190	70724	6	6	190
2197	12145	220	47347	7	2	162
2198	24117	80	27825	6	8	165
2199	12781	240	70724	1	6	158
2200	13746	140	70724	2	6	129
2201	11343	210	47347	2	2	120
2202	18752	130	54620	7	9	131
2203	25957	90	38466	4	18	117
2204	13541	60	47347	2	2	134
2205	26442	70	89125	2	12	160
2206	22313	270	47347	6	2	115
2207	11391	200	9474	6	15	156
2208	11646	200	70047	4	7	131
2209	28105	120	29442	5	3	133
2210	29291	80	47347	7	2	166
2211	23670	50	29442	6	3	164
2212	16283	250	70724	5	6	121
2213	17248	60	29442	2	3	166
2214	11933	160	47347	4	2	172
2215	17855	40	63641	4	16	198
2216	25455	120	90367	4	4	111
2217	13568	90	47347	4	2	135
2218	17682	30	11869	4	17	158
2219	25477	100	73123	6	10	190
2220	25523	50	11869	1	17	133
2221	27308	230	90367	5	4	101
2222	22970	90	70724	7	6	200
2223	19274	100	70724	6	6	140
2224	23355	100	27825	3	8	119
2225	12009	140	38466	6	18	196
2226	22061	250	54620	2	9	111
2227	28152	20	54620	4	9	111
2228	19561	270	1526	2	13	200
2229	23286	150	70724	2	6	126
2230	18465	190	27825	6	8	152
2231	25161	130	1526	5	13	152
2232	20457	130	1526	1	13	114
2233	20719	190	90367	7	4	126
2234	12604	170	73123	7	10	158
2235	19118	10	11869	7	17	158
2236	14916	170	89125	6	12	166
2237	19405	30	89125	3	12	163
2238	27836	140	73123	1	10	158
2239	12759	270	63641	1	16	126
2240	20048	220	1760	2	1	142
2241	16541	210	85176	3	5	139
2242	16812	180	70724	7	6	153
2243	15877	180	1526	7	13	136
2244	23675	170	66806	1	14	146
2245	24135	130	9474	7	15	130
2246	28471	240	89125	2	12	103
2247	25258	60	11869	7	17	197
2248	17901	240	90367	7	4	184
2249	12946	100	11869	4	17	142
2250	22422	110	70724	1	6	108
2251	18579	270	1526	3	13	197
2252	21934	50	89125	5	12	206
2253	15168	10	1526	6	13	159
2254	12334	70	27825	3	8	143
2255	29236	60	29442	7	3	202
2256	24939	180	1526	2	13	135
2257	18134	10	47347	4	2	100
2258	26099	120	1526	1	13	183
2259	17012	250	38466	3	18	139
2260	16161	90	11869	4	17	107
2261	19646	20	11869	2	17	117
2262	16434	50	1526	4	13	147
2263	24905	230	38466	2	18	192
2264	13128	270	66806	5	14	189
2265	26250	240	73123	3	10	176
2266	19440	90	1760	7	1	164
2267	25309	10	90367	2	4	149
2268	13863	110	1526	1	13	160
2269	20249	240	1760	1	1	139
2270	27000	180	70724	4	6	148
2271	17554	180	70724	3	6	126
2272	26782	250	85176	5	5	102
2273	28337	230	73123	3	10	183
2274	21320	120	73123	2	10	145
2275	13006	10	85176	6	5	168
2276	14329	130	11869	6	17	197
2277	21695	170	66806	6	14	201
2278	25979	10	9474	1	15	187
2279	15334	230	66806	5	14	127
2280	11107	60	73123	2	10	175
2281	11205	30	95810	4	11	109
